metric,value,unit
certificate_verify,0.06482004560530186,ms
challenge_generation,0.003008730651345104,ms
signature_generation,0.025905066344421357,ms
signature_verification,0.08082205732353032,ms
total_authentication,0.14178806165000424,ms
replay_protection,4.858375003095716,ms
authchallenge_size,111,bytes
authresponse_size,149,bytes
authsuccess_size,94,bytes
telemetry_size,209,bytes
throughput,3697.7,auth/sec
battery_1,0.073,ms
battery_10,0.6675,ms
battery_50,3.0176,ms
battery_100,6.5453,ms
battery_500,30.1585,ms
batteryhello_size,85,bytes
