mode,time,nonce,signature,counter,voltage,model_state,model_auth,model_replay,model_injection,model_soc
0,0,1234,1334,0,51.2,0,1,0,0,0
0,1,1234,1334,1,51.2,1,1,0,0,0
0,2,1234,1334,2,51.2,2,1,0,0,0
0,3,1234,1334,3,51.2,3,1,0,0,0
0,4,1234,1334,4,51.2,4,1,0,0,0
0,5,1234,1334,5,51.2,5,1,0,0,85
0,6,1234,1334,6,51.2,5,1,0,0,85
0,7,1234,1334,7,51.2,5,1,0,0,85
0,8,1234,1334,8,51.2,5,1,0,0,85
0,9,1234,1334,9,51.2,5,1,0,0,85
0,10,1234,1334,10,51.2,5,1,0,0,85
1,0,1234,1334,5,51.2,0,1,0,0,0
1,1,1234,1334,5,51.2,1,1,1,0,0
1,2,1234,1334,5,51.2,2,1,1,0,0
1,3,1234,1334,5,51.2,3,1,1,0,0
1,4,1234,1334,5,51.2,4,1,1,0,0
1,5,1234,1334,5,51.2,5,1,1,0,85
1,6,1234,1334,5,51.2,5,1,1,0,85
1,7,1234,1334,5,51.2,5,1,1,0,85
1,8,1234,1334,5,51.2,5,1,1,0,85
1,9,1234,1334,5,51.2,5,1,1,0,85
1,10,1234,1334,5,51.2,5,1,1,0,85
2,0,1234,9999,0,51.2,0,0,0,0,0
2,1,1234,9999,1,51.2,1,0,0,0,0
2,2,1234,9999,2,51.2,2,0,0,0,0
2,3,1234,9999,3,51.2,3,0,0,0,0
2,4,1234,9999,4,51.2,0,0,0,0,0
2,5,1234,9999,5,51.2,1,0,0,0,0
2,6,1234,9999,6,51.2,2,0,0,0,0
2,7,1234,9999,7,51.2,3,0,0,0,0
2,8,1234,9999,8,51.2,0,0,0,0,0
2,9,1234,9999,9,51.2,1,0,0,0,0
2,10,1234,9999,10,51.2,2,0,0,0,0
3,0,1234,1334,0,999,0,1,0,1,0
3,1,1234,1334,1,999,1,1,0,1,0
3,2,1234,1334,2,999,2,1,0,1,0
3,3,1234,1334,3,999,3,1,0,1,0
3,4,1234,1334,4,999,4,1,0,1,0
3,5,1234,1334,5,999,5,1,0,1,85
3,6,1234,1334,6,999,5,1,0,1,85
3,7,1234,1334,7,999,5,1,0,1,85
3,8,1234,1334,8,999,5,1,0,1,85
3,9,1234,1334,9,999,5,1,0,1,85
3,10,1234,1334,10,999,5,1,0,1,85
4,0,1234,0,0,51.2,0,0,0,0,0
4,1,1234,0,1,51.2,1,0,0,0,0
4,2,1234,0,2,51.2,2,0,0,0,0
4,3,1234,0,3,51.2,3,0,0,0,0
4,4,1234,0,4,51.2,0,0,0,0,0
4,5,1234,0,5,51.2,1,0,0,0,0
4,6,1234,0,6,51.2,2,0,0,0,0
4,7,1234,0,7,51.2,3,0,0,0,0
4,8,1234,0,8,51.2,0,0,0,0,0
4,9,1234,0,9,51.2,1,0,0,0,0
4,10,1234,0,10,51.2,2,0,0,0,0
5,0,1234,9999,0,999,0,0,0,1,0
5,1,1234,9999,1,999,1,0,0,1,0
5,2,1234,9999,2,999,2,0,0,1,0
5,3,1234,9999,3,999,3,0,0,1,0
5,4,1234,9999,4,999,0,0,0,1,0
5,5,1234,9999,5,999,1,0,0,1,0
5,6,1234,9999,6,999,2,0,0,1,0
5,7,1234,9999,7,999,3,0,0,1,0
5,8,1234,9999,8,999,0,0,0,1,0
5,9,1234,9999,9,999,1,0,0,1,0
5,10,1234,9999,10,999,2,0,0,1,0
