mode,time,nonce,signature,counter,voltage,model_state,model_auth,model_replay,model_injection,model_soc
6,0.0,0,0,1,51.20000076293945,5,1,0,0,85
6,0.1,0,0,1,97.0,5,1,0,1,0
7,0.0,0,0,2,51.20000076293945,5,1,1,0,0
7,0.1,0,0,1,51.20000076293945,5,1,1,0,0
8,0.0,0,0,0,0.0,0,0,0,0,0
8,0.05,0,0,0,0.0,0,0,0,0,0
8,0.1,0,0,0,0.0,0,0,0,0,0
8,0.15,0,0,0,0.0,5,0,0,1,0
9,0.0,0,0,0,0.0,5,1,0,0,85
9,0.1,0,0,0,0.0,5,1,1,0,0
10,0.0,0,0,1,99.0,5,1,0,1,0
10,0.1,0,0,2,51.20000076293945,5,1,0,1,0
11,0.0,0,0,0,0.0,2,0,0,0,0
11,0.1,0,0,0,0.0,2,0,0,0,0
11,0.2,0,0,0,0.0,2,0,0,0,0
